Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
BA;2919157;Lapão;2;2;3;2;2;
BA;2919207;Lauro de Freitas;4;2;3;3;6;
BA;2919306;Lençóis;2;2;5;;3;
BA;2919405;Licínio de Almeida;2;2;2;2;1;
BA;2919504;Livramento de Nossa Senhora;2;3;3;2;3;
BA;2919553;Luís Eduardo Magalhães;2;4;3;;3;
BA;2919603;Macajuba;2;2;2;3;2;
BA;2919702;Macarani;3;2;5;4;4;
BA;2919801;Macaúbas;2;3;2;2;3;
BA;2919900;Macururé;2;3;2;3;2;
BA;2919926;Madre de Deus;3;2;2;3;2;
BA;2919959;Maetinga;3;3;2;2;2;
BA;2920007;Maiquinique;2;3;3;3;2;
BA;2920106;Mairi;3;2;3;2;2;
BA;2920205;Malhada;3;3;3;2;2;
BA;2920304;Malhada de Pedras;2;2;2;2;2;
BA;2920403;Manoel Vitorino;2;3;4;3;3;
BA;2920452;Mansidão;2;2;4;2;4;
BA;2920502;Maracás;;2;3;4;4;
BA;2920601;Maragogipe;4;5;3;2;3;
BA;2920700;Maraú;4;3;2;2;3;
BA;2920809;Marcionílio Souza;3;5;3;;4;
BA;2920908;Mascote;3;4;2;4;3;
BA;2921005;Mata de São João;4;3;3;5;4;
BA;2921054;Matina;2;1;2;2;2;
BA;2921104;Medeiros Neto;3;2;2;3;4;
BA;2921203;Miguel Calmon;2;3;3;2;2;
BA;2921302;Milagres;2;2;3;2;3;
BA;2921401;Mirangaba;3;2;2;4;4;
BA;2921450;Mirante;2;2;2;2;2;
BA;2921500;Monte Santo;4;3;4;4;2;
BA;2921609;Morpará;3;2;2;2;2;
BA;2921708;Morro do Chapéu;3;3;5;3;4;
BA;2921807;Mortugaba;2;3;2;2;2;
BA;2921906;Mucugê;1;2;2;2;3;
BA;2922003;Mucuri;;7;3;3;7;
BA;2922052;Mulungu do Morro;2;4;2;2;2;
BA;2922102;Mundo Novo;3;2;4;2;2;
BA;2922201;Muniz Ferreira;3;2;3;2;2;
BA;2922250;Muquém de São Francisco;3;2;2;;2;
